day,fee_tier,volume
2022-10-14 00:00:00.000 UTC,5bp,464113357.9717348
2023-03-13 00:00:00.000 UTC,5bp,1129728019.297069
2024-03-21 00:00:00.000 UTC,30bp,68697641.03751402
2025-02-14 00:00:00.000 UTC,5bp,309700883.3198648
2022-12-25 00:00:00.000 UTC,30bp,11841274.797341323
2021-08-31 00:00:00.000 UTC,5bp,447054959.4176991
2023-12-27 00:00:00.000 UTC,5bp,241571558.02531204
2021-10-28 00:00:00.000 UTC,5bp,619770097.690312
2023-01-20 00:00:00.000 UTC,5bp,356014960.6334149
2021-12-11 00:00:00.000 UTC,5bp,867360399.9972422
2023-09-03 00:00:00.000 UTC,5bp,97908221.99559727
2023-09-26 00:00:00.000 UTC,30bp,1246841.3947368385
2024-07-29 00:00:00.000 UTC,30bp,32005217.107051957
2021-06-15 00:00:00.000 UTC,30bp,169910140.63226387
2022-06-11 00:00:00.000 UTC,5bp,692604938.8757362
2024-06-20 00:00:00.000 UTC,5bp,250783533.87409085
2022-10-08 00:00:00.000 UTC,30bp,9911450.32695112
2022-10-24 00:00:00.000 UTC,30bp,30387370.114162907
2023-03-02 00:00:00.000 UTC,30bp,14924414.471294422
2022-11-01 00:00:00.000 UTC,30bp,30088967.584201712
2023-12-14 00:00:00.000 UTC,5bp,189147026.15944952
2025-03-04 00:00:00.000 UTC,30bp,45530242.09926081
2023-06-20 00:00:00.000 UTC,30bp,12779585.90591173
2021-12-24 00:00:00.000 UTC,5bp,510093374.33817357
2021-11-05 00:00:00.000 UTC,5bp,269159914.8197781
2022-08-17 00:00:00.000 UTC,30bp,70739348.1436857
2022-07-07 00:00:00.000 UTC,5bp,457875677.5763926
2022-07-14 00:00:00.000 UTC,30bp,86180502.49113104
2021-06-02 00:00:00.000 UTC,30bp,284316373.7442866
2023-10-04 00:00:00.000 UTC,30bp,4356255.735453153
2022-06-03 00:00:00.000 UTC,5bp,459814399.4072739
2024-02-16 00:00:00.000 UTC,5bp,142417847.0436954
2024-03-18 00:00:00.000 UTC,30bp,9226693.831246955
2024-09-11 00:00:00.000 UTC,30bp,4463431.785908451
2021-08-21 00:00:00.000 UTC,5bp,263625037.0022822
2021-12-29 00:00:00.000 UTC,30bp,61492510.1192136
2022-01-11 00:00:00.000 UTC,30bp,74183424.77275966
2021-07-08 00:00:00.000 UTC,5bp,314185921.7600271
2023-11-23 00:00:00.000 UTC,5bp,200682593.93972957
2024-08-29 00:00:00.000 UTC,30bp,3144354.702413379
2023-01-07 00:00:00.000 UTC,5bp,71168749.70152189
2022-01-01 00:00:00.000 UTC,5bp,384048097.3069617
2022-05-24 00:00:00.000 UTC,30bp,61342818.543450005
2023-02-10 00:00:00.000 UTC,5bp,555577116.1308005
2023-02-15 00:00:00.000 UTC,30bp,30450222.664894767
2024-11-10 00:00:00.000 UTC,30bp,51858931.652352005
2023-09-13 00:00:00.000 UTC,30bp,6601977.021188094
2024-06-18 00:00:00.000 UTC,5bp,375686936.3892702
2023-03-31 00:00:00.000 UTC,30bp,14543007.876844212
2024-03-31 00:00:00.000 UTC,5bp,179268808.0344072
2023-12-24 00:00:00.000 UTC,30bp,9313795.7644142
2022-01-29 00:00:00.000 UTC,30bp,62354290.5062495
2021-07-27 00:00:00.000 UTC,30bp,151409463.86209458
2021-07-11 00:00:00.000 UTC,30bp,58776814.092235096
2022-07-04 00:00:00.000 UTC,5bp,374287478.6076149
2022-06-29 00:00:00.000 UTC,30bp,99155052.32453516
2024-12-29 00:00:00.000 UTC,5bp,92059750.43419419
2024-04-12 00:00:00.000 UTC,30bp,82529657.5239749
2024-01-16 00:00:00.000 UTC,5bp,158295309.93179816
2024-05-27 00:00:00.000 UTC,30bp,6738334.204879725
2023-07-29 00:00:00.000 UTC,30bp,881739.8095120671
2025-01-06 00:00:00.000 UTC,5bp,320320622.47869545
2025-01-27 00:00:00.000 UTC,30bp,10420810.996343222
2022-01-30 00:00:00.000 UTC,30bp,57929866.579849884
2023-02-24 00:00:00.000 UTC,30bp,28460655.217843726
2021-09-20 00:00:00.000 UTC,30bp,279246684.46350414
2023-08-01 00:00:00.000 UTC,30bp,10616296.283352867
2022-09-29 00:00:00.000 UTC,5bp,407022413.42693806
2023-04-23 00:00:00.000 UTC,30bp,10634345.41531846
2024-06-22 00:00:00.000 UTC,5bp,81914381.6295691
2024-08-30 00:00:00.000 UTC,30bp,4138354.239350977
2024-12-26 00:00:00.000 UTC,5bp,179042015.79194883
2022-11-05 00:00:00.000 UTC,30bp,17069854.009258285
2024-09-25 00:00:00.000 UTC,5bp,165354247.20573428
2024-01-11 00:00:00.000 UTC,5bp,275264928.1497872
2022-03-26 00:00:00.000 UTC,30bp,19474739.196288407
2021-12-08 00:00:00.000 UTC,5bp,798838325.4608724
2022-01-27 00:00:00.000 UTC,5bp,1107960262.0322328
2021-11-17 00:00:00.000 UTC,5bp,677668909.202106
2022-09-26 00:00:00.000 UTC,5bp,358320440.3669749
2023-04-15 00:00:00.000 UTC,30bp,4656316.288635464
2023-05-27 00:00:00.000 UTC,30bp,1856042.908491917
2024-06-12 00:00:00.000 UTC,30bp,41955336.586968966
2022-11-26 00:00:00.000 UTC,5bp,235378216.88611865
2024-01-03 00:00:00.000 UTC,5bp,423266149.9564517
2024-01-06 00:00:00.000 UTC,30bp,5049981.014885889
2022-02-12 00:00:00.000 UTC,5bp,642197571.7930412
2022-01-01 00:00:00.000 UTC,30bp,45654526.529006675
2024-11-17 00:00:00.000 UTC,30bp,38091863.79623263
2023-08-11 00:00:00.000 UTC,5bp,68661813.99327451
2022-06-24 00:00:00.000 UTC,30bp,116336158.32209608
2023-05-11 00:00:00.000 UTC,30bp,17765388.635378357
2023-03-19 00:00:00.000 UTC,5bp,497378678.49448836
2024-03-25 00:00:00.000 UTC,30bp,40429983.51635363
2024-01-27 00:00:00.000 UTC,5bp,56612848.64227915
2021-10-22 00:00:00.000 UTC,30bp,125821076.29806642
2021-08-01 00:00:00.000 UTC,30bp,145069851.1786641
2022-03-29 00:00:00.000 UTC,30bp,85083450.2695416
2022-01-22 00:00:00.000 UTC,30bp,270616399.1912924
2022-01-06 00:00:00.000 UTC,30bp,205515414.54117632
2022-05-15 00:00:00.000 UTC,5bp,459973550.95430005
2022-08-25 00:00:00.000 UTC,30bp,40478766.54275076
2022-07-25 00:00:00.000 UTC,5bp,701185345.3831059
2021-06-25 00:00:00.000 UTC,30bp,155099532.10498607
2023-05-07 00:00:00.000 UTC,30bp,10794551.271069767
2022-06-16 00:00:00.000 UTC,5bp,701075039.0204691
2023-11-15 00:00:00.000 UTC,5bp,343213248.88374966
2024-08-11 00:00:00.000 UTC,5bp,113982910.68561904
2022-10-10 00:00:00.000 UTC,30bp,24462947.132626858
2022-11-06 00:00:00.000 UTC,30bp,25228898.304950133
2024-09-03 00:00:00.000 UTC,30bp,2793533.4236692865
2022-12-07 00:00:00.000 UTC,5bp,239179709.82572964
2021-08-08 00:00:00.000 UTC,30bp,219986130.98144782
2021-08-29 00:00:00.000 UTC,5bp,251964982.09768164
2023-01-28 00:00:00.000 UTC,5bp,232981971.71602368
2022-03-14 00:00:00.000 UTC,30bp,51759123.8311639
2021-12-06 00:00:00.000 UTC,30bp,238757170.38374335
2023-08-26 00:00:00.000 UTC,5bp,49923469.330876894
2023-05-20 00:00:00.000 UTC,30bp,1975021.6868921039
2024-08-21 00:00:00.000 UTC,30bp,6666260.476169482
2023-03-26 00:00:00.000 UTC,5bp,226037626.48136196
2022-03-27 00:00:00.000 UTC,5bp,463943744.69160646
2022-05-03 00:00:00.000 UTC,5bp,782451964.6856859
2021-11-28 00:00:00.000 UTC,30bp,84150376.0174269
2023-10-31 00:00:00.000 UTC,5bp,198172652.98048025
2024-02-29 00:00:00.000 UTC,5bp,439205429.52186894
2024-02-06 00:00:00.000 UTC,30bp,7607919.163988693
2022-12-15 00:00:00.000 UTC,30bp,14716665.401698243
2022-02-14 00:00:00.000 UTC,5bp,537226328.0961722
2023-02-20 00:00:00.000 UTC,5bp,312341209.33137095
2022-09-30 00:00:00.000 UTC,5bp,419231520.7631707
2024-12-01 00:00:00.000 UTC,5bp,168153932.41876343
2024-12-29 00:00:00.000 UTC,30bp,2517706.4914011857
2024-05-07 00:00:00.000 UTC,5bp,224273594.35625216
2025-01-24 00:00:00.000 UTC,5bp,571372498.2013876
2022-01-19 00:00:00.000 UTC,30bp,72256452.78119339
2021-09-21 00:00:00.000 UTC,5bp,932799451.8267499
2021-09-18 00:00:00.000 UTC,30bp,51304269.301240064
2022-07-04 00:00:00.000 UTC,30bp,81087007.48050228
2024-06-07 00:00:00.000 UTC,30bp,36728751.26414546
2021-05-07 00:00:00.000 UTC,5bp,24344895.73693225
2025-02-11 00:00:00.000 UTC,30bp,29354961.977425665
2023-12-16 00:00:00.000 UTC,30bp,6229883.594710096
2023-07-13 00:00:00.000 UTC,5bp,457965727.97068375
2023-07-03 00:00:00.000 UTC,30bp,6112044.424218583
2021-11-15 00:00:00.000 UTC,30bp,63578915.704464756
2024-07-08 00:00:00.000 UTC,30bp,34669826.37372113
